word,phonetic,partOfSpeech,definition,example
abandon,/əˈbændən/,vt.,放弃，抛弃,He abandoned his car in the snow.
abnormal,/æbˈnɔːml/,adj.,反常的，变态的,The weather is abnormal this year.
aboard,/əˈbɔːd/,adv./prep.,在船(车)上,Welcome aboard the flight.
abolish,/əˈbɒlɪʃ/,vt.,废除，取消,They decided to abolish the death penalty.
abortion,/əˈbɔːʃn/,n.,流产，堕胎,The abortion rate has increased.
abroad,/əˈbrɔːd/,adv.,在国外，到国外,She is studying abroad.
abrupt,/əˈbrʌpt/,adj.,突然的，唐突的,The meeting came to an abrupt end.
absence,/ˈæbsəns/,n.,缺席，不在,His absence was noticed by everyone.
absent,/ˈæbsənt/,adj.,缺席的，不在的,He was absent from school yesterday.
absolute,/ˈæbsəluːt/,adj.,绝对的，完全的,I have absolute confidence in you.
absorb,/əbˈzɔːb/,vt.,吸收，同化,Plants absorb water through their roots.
abstract,/ˈæbstrækt/,adj./n.,抽象的；摘要,This is an abstract concept.
absurd,/əbˈsɜːd/,adj.,荒谬的，可笑的,That idea is completely absurd.
abundance,/əˈbʌndəns/,n.,丰富，充裕,There is an abundance of food.
abuse,/əˈbjuːz/,vt./n.,滥用，虐待,He was accused of child abuse.
academic,/ˌækəˈdemɪk/,adj./n.,学术的；大学生,She has excellent academic records.
accelerate,/əkˈseləreɪt/,vt.,加速，促进,The car began to accelerate.
access,/ˈækses/,n./vt.,接近；通道,Students have access to the library.
accidental,/ˌæksɪˈdentl/,adj.,偶然的，意外的,The meeting was accidental.
accommodate,/əˈkɒmədeɪt/,vt.,容纳，供应,The hotel can accommodate 200 guests.
accomplish,/əˈkʌmplɪʃ/,vt.,完成，实现,She accomplished her goal.
accordance,/əˈkɔːdəns/,n.,一致，和谐,In accordance with the rules.
accumulate,/əˈkjuːmjəleɪt/,vt.,积累，积聚,He accumulated great wealth.
accurate,/ˈækjərət/,adj.,准确的，精确的,Please give me an accurate report.
accuse,/əˈkjuːz/,vt.,指责，归咎,He accused me of lying.
accustomed,/əˈkʌstəmd/,adj.,习惯的，通常的,I am accustomed to hard work.
achievement,/əˈtʃiːvmənt/,n.,完成，成就,His achievement is remarkable.
acknowledge,/əkˈnɒlɪdʒ/,vt.,承认，答谢,He acknowledged his mistake.
acquaintance,/əˈkweɪntəns/,n.,认识，了解,He is an old acquaintance.
acquire,/əˈkwaɪə/,vt.,获得，学到,She acquired a good education.
adapt,/əˈdæpt/,vt.,使适应，改编,Animals adapt to their environment.
addition,/əˈdɪʃn/,n.,加，增加,In addition to English, he speaks French.
adequate,/ˈædɪkwət/,adj.,足够的，适当的,The salary is adequate for my needs.
adjust,/əˈdʒʌst/,vt./vi.,调整，调节,You need to adjust the mirror.
administration,/ədˌmɪnɪˈstreɪʃn/,n.,管理，行政,The administration is efficient.
admiration,/ˌædməˈreɪʃn/,n.,钦佩，赞美,I have admiration for his courage.
admission,/ədˈmɪʃn/,n.,允许进入，承认,Admission to the museum is free.
adopt,/əˈdɒpt/,vt.,收养，采用,They decided to adopt a child.
advance,/ədˈvɑːns/,vi./n.,前进，进步,Technology continues to advance.
advantage,/ədˈvɑːntɪdʒ/,n.,优点，优势,The advantage of this method is clear.
adventure,/ədˈventʃə/,n.,冒险，奇遇,Life is an adventure.
advisable,/ədˈvaɪzəbl/,adj.,明智的，可取的,It is advisable to save money.
advocate,/ˈædvəkət/,vt./n.,提倡，拥护,He advocates education reform.
aesthetic,/iːsˈθetɪk/,adj./n.,审美的；美学,The building has aesthetic appeal.
affection,/əˈfekʃn/,n.,慈爱，爱慕,He showed great affection for his children.
affiliate,/əˈfɪlieɪt/,vt./vi.,使隶俗，接纳,The hospital is affiliated with the university.
affirm,/əˈfɜːm/,vt.,断言，批准,He affirmed his innocence.
afflict,/əˈflɪkt/,vt.,使苦恼，折磨,The disease afflicted many people.
agency,/ˈeɪdʒənsi/,n.,代理处，机构,The news agency reported the event.
agenda,/əˈdʒendə/,n.,议事日程,The agenda for the meeting is ready.
agent,/ˈeɪdʒənt/,n.,代理人，特工,He works as a secret agent.
aggravate,/ˈæɡrəveɪt/,vt.,加重，恶化,His words aggravated the situation.
aggressive,/əˈɡresɪv/,adj.,侵略的，好斗的,The dog became aggressive.
agitation,/ˌædʒɪˈteɪʃn/,n.,激动，煽动,There was public agitation about the issue.
agony,/ˈæɡəni/,n.,极度痛苦,He was in agony after the accident.
agreeable,/əˈɡriːəbl/,adj.,令人愉快的,The weather is agreeable today.
agreement,/əˈɡriːmənt/,n.,协定，同意,They reached an agreement.
agriculture,/ˈæɡrɪkʌltʃə/,n.,农业，农艺,Agriculture is important for the economy.
aid,/eɪd/,n./vt.,援助，帮助,They provided aid to the victims.
alarm,/əˈlɑːm/,n./vt.,警报，惊恐,The fire alarm went off.
alcohol,/ˈælkəhɒl/,n.,酒精，乙醇,The doctor advised him to avoid alcohol.
alert,/əˈlɜːt/,adj./n.,警惕的；警报,The guard remained alert.
alien,/ˈeɪliən/,adj./n.,外国的；外星人,He is an alien in this country.
alike,/əˈlaɪk/,adj./adv.,同样的，同样地,The twins look alike.
alive,/əˈlaɪv/,adj.,活着的，存在的,The fish is still alive.
allergic,/əˈlɜːdʒɪk/,adj.,过敏的,She is allergic to peanuts.
alleviate,/əˈliːvieɪt/,vt.,减轻，缓和,The medicine alleviated the pain.
alliance,/əˈlaɪəns/,n.,同盟，联盟,The two countries formed an alliance.
allocate,/ˈæləkeɪt/,vt.,分配，拨给,The government allocated funds for education.
allowance,/əˈlaʊəns/,n.,津贴，允许,He receives a monthly allowance.
alloy,/ˈælɔɪ/,n./vt.,合金；铸成合金,Steel is an alloy of iron and carbon.
ally,/ˈælaɪ/,n./vt.,同盟国；结盟,Britain was an ally of the US.
alter,/ˈɔːltə/,vt./vi.,改变，变更,The plan needs to be altered.
alternate,/ɔːlˈtɜːnət/,adj./v.,交替的；轮流,They work on alternate days.
alternative,/ɔːlˈtɜːnətɪv/,adj./n.,供选择的；抉择,We have no alternative but to leave.
altitude,/ˈæltɪtjuːd/,n.,高度，海拔,The plane flew at high altitude.
aluminium,/ˌæljəˈmɪniəm/,n.,铝,Aluminium is a lightweight metal.
amateur,/ˈæmətə/,adj./n.,业余的；业余爱好者,He is an amateur photographer.
ambassador,/æmˈbæsədə/,n.,大使,The ambassador presented his credentials.
ambiguous,/æmˈbɪɡjuəs/,adj.,模棱两可的,His answer was ambiguous.
ambition,/æmˈbɪʃn/,n.,雄心，野心,Her ambition is to become a doctor.
ambulance,/ˈæmbjələns/,n.,救护车,The ambulance arrived quickly.
amend,/əˈmend/,vt./vi.,修改，修正,They amended the constitution.
amiable,/ˈeɪmiəbl/,adj.,和蔼可亲的,She has an amiable personality.
amid,/əˈmɪd/,prep.,在...之中,He stood amid the crowd.
ample,/ˈæmpl/,adj.,足够的，宽敞的,There is ample evidence.
amplify,/ˈæmplɪfaɪ/,vt./vi.,放大，增强,The amplifier amplified the sound.
amuse,/əˈmjuːz/,vt.,逗...乐，给...娱乐,The story amused the children.
analogy,/əˈnælədʒi/,n.,相似，类比,The teacher used an analogy.
analyze,/ˈænəlaɪz/,vt./vi.,分析，分解,The scientist analyzed the data.
ancestor,/ˈænsestə/,n.,祖宗，祖先,Our ancestors lived in caves.
anchor,/ˈæŋkə/,n./vt.,锚；抛锚,The ship dropped anchor.
ancient,/ˈeɪnʃənt/,adj.,古代的，古老的,This is an ancient city.
anecdote,/ˈænɪkdəʊt/,n.,轶事，趣闻,He told an amusing anecdote.
angle,/ˈæŋɡl/,n./vt.,角；角度；钓鱼,The angle of the photo is good.
anguish,/ˈæŋɡwɪʃ/,n./vt.,极度痛苦,She was in anguish over her loss.
anniversary/,ˌænɪˈvɜːsəri/,n.,周年纪念日,Today is our wedding anniversary.
announce,/əˈnaʊns/,vt./vi.,宣布，通告,They announced their engagement.
annoy,/əˈnɔɪ/,vt./vi.,使恼火，打搅,His behavior annoyed me.
annual,/ˈænjuəl/,adj./n.,每年的；年报,The annual meeting is in December.
anonymous,/əˈnɒnɪməs/,adj.,匿名的,The donor wished to remain anonymous.
anticipate,/ænˈtɪsɪpeɪt/,vt./vi.,预料，预期,We anticipate a good harvest.
anxiety,/æŋˈzaɪəti/,n.,焦虑，忧虑,She suffers from anxiety.
anxious,/ˈæŋkʃəs/,adj.,忧虑的，渴望的,He is anxious about the exam.
apart,/əˈpɑːt/,adv./adj.,相隔；分开,The two houses are far apart.
apologize,/əˈpɒlədʒaɪz/,vi.,道歉，谢罪,You should apologize to her.
appal,/əˈpɔːl/,vt./vi.,使惊骇,The news appalled everyone.
apparatus/,ˌæpəˈreɪtəs/,n.,器械，仪器，装置,The laboratory apparatus is expensive.
appeal,/əˈpiːl/,vi./n./vt.,呼吁；申述,The court rejected his appeal.
appetite,/ˈæpɪtaɪt/,n.,食欲，胃口,He has a good appetite.
applaud,/əˈplɔːd/,vt./vi.,喝彩，鼓掌,The audience applauded loudly.
applause,/əˈplɔːz/,n.,鼓掌，喝彩,He received a round of applause.
appliance,/əˈplaɪəns/,n.,用具，器具,The kitchen appliances are modern.
applicable,/ˈæplɪkəbl/,adj.,能应用的，适用的,This rule is applicable to everyone.
application/,ˌæplɪˈkeɪʃn/,n.,申请，应用,The application was approved.
appoint,/əˈpɔɪnt/,vt./vi.,任命，指定,They appointed him chairman.
appointment,/əˈpɔɪntmənt/,n.,约会，任命,I have an appointment at 3 PM.
appreciate,/əˈpriːʃieɪt/,vt./vi.,感激，欣赏,I appreciate your help.
approach,/əˈprəʊtʃ/,vt./vi./n.,接近，方法,We need a new approach.
appropriate,/əˈprəʊpriət/,adj./vt.,适当的，拨出,His behavior was appropriate.
approval,/əˈpruːvl/,n.,赞成，批准,The project needs approval.
approve,/əˈpruːv/,vt./vi.,赞成，批准,The committee approved the plan.
approximate,/əˈprɒksɪmət/,adj./v./vt.,近似的，接近,The approximate cost is $100.
arbitrary,/ˈɑːbɪtrəri/,adj.,随意的，专断的,The decision was arbitrary.
architect,/ˈɑːkɪtekt/,n.,建筑师,The architect designed the building.
architecture,/ˈɑːkɪtektʃə/,n.,建筑学，建筑,The architecture is impressive.
area,/ˈeəriə/,n.,面积，区域，领域,The area of the room is 20 square meters.
argue,/ˈɑːɡjuː/,vi./vt.,争论，辩论,They argued about politics.
argument,/ˈɑːɡjumənt/,n.,争论，论据,His argument was convincing.
arise,/əˈraɪz/,vi./vt.,出现，由...引起,A new problem has arisen.
arithmetic,/əˈrɪθmətɪk/,n./adj.,算术，算术的,He is good at arithmetic.
arouse,/əˈraʊz/,vt./vi.,引起，唤起,The speech aroused enthusiasm.
arrange,/əˈreɪndʒ/,vt./vi.,整理，安排,Please arrange the books.
array,/əˈreɪ/,n./vt.,排列，数组,An array of options is available.
arrest,/əˈrest/,vt./n.,逮捕，阻止,The police arrested the thief.
arrival,/əˈraɪvl/,n.,到来，到达,His arrival was unexpected.
arrive,/əˈraɪv/,vi./vt.,到达，来临,The train arrived on time.
arrogant,/ˈærəɡənt/,adj.,骄傲自大的,He is arrogant and rude.
arrow,/ˈærəʊ/,n.,箭，箭头,The arrow hit the target.
art,/ɑːt/,n.,艺术，美术,Art is my favorite subject.
artery,/ˈɑːtəri/,n.,动脉，要道,The heart pumps blood through arteries.
article,/ˈɑːtɪkl/,n.,文章，物品,He wrote an article for the newspaper.
artificial/,ˌɑːtɪˈfɪʃl/,adj.,人工的，人为的,The flowers are artificial.
artist,/ˈɑːtɪst/,n.,艺术家，画家,She is a talented artist.
artistic,/ɑːˈtɪstɪk/,adj.,艺术的，艺术家的,The painting has artistic value.
ascertain/,ˌæsəˈteɪn/,vt./vi.,查明，确定,Please ascertain the facts.
ash,/æʃ/,n.,灰，灰末,Cigarette ash fell on the carpet.
ashamed,/əˈʃeɪmd/,adj.,惭愧的，羞耻的,He felt ashamed of his behavior.
ashore,/əˈʃɔː/,adv./adj.,在岸上，上岸,The sailors went ashore.
aside,/əˈsaɪd/,adv.,在旁边，除...以外,He stepped aside.
ask,/ɑːsk/,vt./vi.,问，要求,May I ask a question?
asleep,/əˈsliːp/,adj./adv.,睡着的，熟睡,The baby is asleep.
aspect,/ˈæspekt/,n.,样子，方面,We must consider every aspect.
assault,/əˈsɔːlt/,vt./n.,袭击，攻击,He was assaulted by robbers.
assemble,/əˈsembl/,vt./vi.,集合，装配,The students assembled in the hall.
assembly,/əˈsembli/,n.,集合，装配，会议,The assembly voted on the issue.
assert,/əˈsɜːt/,vt./vi.,断言，宣称,He asserted his innocence.
assess,/əˈses/,vt./vi.,对...进行估价,They assessed the damage.
asset,/ˈæset/,n.,资产，财产,The company has many assets.
assign,/əˈsaɪn/,vt./vi.,分配，指派,The teacher assigned homework.
assignment,/əˈsaɪnmənt/,n.,任务，分配,The assignment is due tomorrow.
assist,/əˈsɪst/,vt./vi./n.,援助，帮助,He assisted me with the work.
assistant,/əˈsɪstənt/,n./adj.,助手，助理的,She is my assistant.
associate,/əˈsəʊʃieɪt/,vt./vi./adj.,联系，联合的,Don't associate with him.
association/,əˌsəʊsiˈeɪʃn/,n.,协会，社团，联合,He joined the football association.
assume,/əˈsjuːm/,vt./vi.,假定，承担,I assume you are right.
assumption,/əˈsʌmpʃn/,n.,假定，设想,His assumption proved wrong.
assure,/əˈʃʊə/,vt./vi.,使确信，向...保证,I assure you it's true.
astonish,/əˈstɒnɪʃ/,vt./vi.,使惊讶，使吃惊,The news astonished everyone.
athlete,/ˈæθliːt/,n.,运动员,He is a professional athlete.
atlas,/ˈætləs/,n.,地图集,Look at the atlas.
atmosphere/,ˈætməsfɪə/,n.,大气，气氛,The atmosphere is relaxed.
atom,/ˈætəm/,n.,原子,An atom is the smallest unit of matter.
attach,/əˈtætʃ/,vt./vi.,缚，系，贴,Please attach the label.
attack,/əˈtæk/,vt./vi./n.,攻击，进攻,The dog attacked the stranger.
attain,/əˈteɪn/,vt./vi.,达到，获得,He attained his goal.
attempt,/əˈtempt/,vt./n./vi.,尝试，试图,He attempted to climb the mountain.
attend,/əˈtend/,vt./vi.,出席，照顾,Please attend the meeting.
attendance,/əˈtendəns/,n.,出席，出席人数,Attendance was high.
attendant,/əˈtendənt/,n./adj.,服务员，出席的,The flight attendant served drinks.
attention,/əˈtenʃn/,n.,注意，关注,Pay attention to the teacher.
attitude,/ˈætɪtjuːd/,n.,态度，看法,His attitude is positive.
attorney,/əˈtɜːni/,n.,代理人，律师,The attorney defended the client.
attract,/əˈtrækt/,vt./vi.,吸引，引起,The flower attracts bees.
attraction,/əˈtrækʃn/,n.,吸引，吸引力,The city has many tourist attractions.
attractive,/əˈtræktɪv/,adj.,有吸引力的,She is an attractive woman.
attribute,/əˈtrɪbjuːt/,vt./n.,归因于，属性,He attributes his success to hard work.
auction,/ˈɔːkʃn/,n./vt.,拍卖,They auctioned the antique.
audience,/ˈɔːdiəns/,n.,听众，观众,The audience applauded.
audio,/ˈɔːdiəʊ/,adj./n.,音频的，声音,The audio quality is excellent.
audit,/ˈɔːdɪt/,vt./n./vi.,审计，查账,The company was audited.
augment,/ɔːɡˈment/,vt./vi./n.,增大，增加,He augmented his income.
author,/ˈɔːθə/,n.,作者,The author wrote many books.
authority,/ɔːˈθɒrəti/,n.,权威，当局,The government has authority.
authorize,/ˈɔːθəraɪz/,vt./vi.,授权，批准,He authorized the payment.
auto/,ˈɔːtəʊ/,n./adj.,汽车，自动的,The auto industry is growing.
automatic/,ˌɔːtəˈmætɪk/,adj./n.,自动的，自动武器,The door is automatic.
